"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"li-4348554990","linkedin","https://www.linkedin.com/jobs/view/4348554990","","Java / Angular Software Engineer (all gender)","ALTEN","Nuremberg, Bavaria, Germany","2025-12-05","","","","","","",False,"","","","","","","https://fr.linkedin.com/company/alten","","","","","","","","","","","",""
"li-4342500104","linkedin","https://www.linkedin.com/jobs/view/4342500104","","Entwicklungsingenieur (m/w/d) Regelungstechnik","Schmitt Engineering","Röthenbach an der Pegnitz, Bavaria, Germany","2025-12-05","","","","","","",False,"","","","","","","https://de.linkedin.com/company/schmitt-engineering-erlangen","","","","","","","","","","","",""
"li-4328958085","linkedin","https://www.linkedin.com/jobs/view/4328958085","","Software Developer Python (D/M/W)","WEBSALE AG","Nuremberg, Bavaria, Germany","2025-12-02","","","","","","",False,"","","","","","","https://de.linkedin.com/company/websale-ag","","","","","","","","","","","",""
"li-4350451933","linkedin","https://www.linkedin.com/jobs/view/4350451933","","(Senior) Consultant (w/m/d) Softwareentwicklung","PRODATO","Nuremberg, Bavaria, Germany","2025-11-30","","","","","","",False,"","","","","","","https://de.linkedin.com/company/prodato","","","","","","","","","","","",""
"li-4324532289","linkedin","https://www.linkedin.com/jobs/view/4324532289","","Quality Assurance Engineer (m/w/d) - Testautomatisierung für Backend-Systeme","SimplyTest","Nuremberg, Bavaria, Germany","2025-11-25","","","","","","",False,"","","","","","","https://de.linkedin.com/company/simplytest","","","","","","","","","","","",""
"li-4203308617","linkedin","https://www.linkedin.com/jobs/view/4203308617","","Senior Java Developer* #10799","Cegeka","Nuremberg, Bavaria, Germany","2025-11-22","","","","","","",False,"","","","","","","https://be.linkedin.com/company/cegeka","","","","","","","","","","","",""
"li-4323518829","linkedin","https://www.linkedin.com/jobs/view/4323518829","","Working Student (m/f/d) - Investigation of Android Auto Integration into an Existing React Native App","Diehl Metering","Nuremberg, Bavaria, Germany","2025-11-21","","","","","","",False,"","","","","","","https://de.linkedin.com/company/diehl-metering","","","","","","","","","","","",""
"li-4340500319","linkedin","https://www.linkedin.com/jobs/view/4340500319","","Software Entwickler (w/m/d) Microsoft Dynamics 365 Business Central - Erneuerbare Energien","Allgeier Inovar GmbH","Nuremberg, Bavaria, Germany","2025-11-12","","","","","","",False,"","","","","","","https://de.linkedin.com/company/allgeier-inovar","","","","","","","","","","","",""
"li-4338187000","linkedin","https://www.linkedin.com/jobs/view/4338187000","","JAVA Software-Entwickler (m/w/d)","SINOS GmbH","Regensburg, Bavaria, Germany","2025-11-08","","","","","","",False,"","","","","","","https://de.linkedin.com/company/sinos-gmbh","","","","","","","","","","","",""
"li-4321002087","linkedin","https://www.linkedin.com/jobs/view/4321002087","","Energy Management System (EMS) Engineer – BESS Applications (m/f/d)","Huawei","Nuremberg, Bavaria, Germany","2025-11-05","","","","","","",False,"","","","","","","https://cn.linkedin.com/company/huawei","","","","","","","","","","","",""
"li-4333988164","linkedin","https://www.linkedin.com/jobs/view/4333988164","","JAVA Software-Entwickler","SINOS GmbH","Regensburg, Bavaria, Germany","2025-11-04","","","","","","",False,"","","","","","","https://de.linkedin.com/company/sinos-gmbh","","","","","","","","","","","",""
"li-4333919830","linkedin","https://www.linkedin.com/jobs/view/4333919830","","Technischer Projektmanager - Autonomes Fahren / Fahrerassistenzsysteme (m/w/d)","CarByte","Nuremberg, Bavaria, Germany","2025-11-04","","","","","","",False,"","","","","","","https://de.linkedin.com/company/carbyte","","","","","","","","","","","",""
"li-4320610117","linkedin","https://www.linkedin.com/jobs/view/4320610117","","Kubernetes DevOps Engineer (w/m/d)","ORDIX AG","Nuremberg, Bavaria, Germany","2025-11-04","","","","","","",False,"","","","","","","https://de.linkedin.com/company/ordix-ag","","","","","","","","","","","",""
"li-4315977558","linkedin","https://www.linkedin.com/jobs/view/4315977558","","ML Application Engineer (German-speaking)","Neural Concept","Bavaria, Germany","2025-10-22","","","","","","",False,"","","","","","","https://ch.linkedin.com/company/neuralconcept","","","","","","","","","","","",""
"li-4314393567","linkedin","https://www.linkedin.com/jobs/view/4314393567","","Frontend Entwickler (m/w/d)","dc AG","Kulmbach, Bavaria, Germany","2025-10-20","","","","","","",False,"","","","","","","https://de.linkedin.com/company/dc-ag","","","","","","","","","","","",""
"li-4317330578","linkedin","https://www.linkedin.com/jobs/view/4317330578","","SAP Software Developer (m/f/x)","SYSTEMA","Regensburg, Bavaria, Germany","2025-10-20","","","","","","",False,"","","","","","","https://de.linkedin.com/company/systema-gmbh","","","","","","","","","","","",""
"li-4313337334","linkedin","https://www.linkedin.com/jobs/view/4313337334","","IT System Engineer (m/w/d)","neumeier AG","Regensburg, Bavaria, Germany","2025-10-17","","","","","","",False,"","","","","","","https://de.linkedin.com/company/neumeier-ag","","","","","","","","","","","",""
"li-4224234297","linkedin","https://www.linkedin.com/jobs/view/4224234297","","Angular Frontend Engineer (all gender)","ALTEN Germany","Nuremberg, Bavaria, Germany","","","","","","","",False,"","","","","","","https://de.linkedin.com/company/altengermany","","","","","","","","","","","",""
"li-4366450821","linkedin","https://www.linkedin.com/jobs/view/4366450821","","Berufseinsteiger Software Developer (m/w/d) – Bereich Backend 25048-IBANB01","NG Engineering Group","Nuremberg, Bavaria, Germany","","","","","","","",False,"","","","","","","https://pl.linkedin.com/company/ng-eng","","","","","","","","","","","",""
"li-4366458827","linkedin","https://www.linkedin.com/jobs/view/4366458827","","IT System Engineer","DL Remote","Nuremberg, Bavaria, Germany","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/dl-remote","","","","","","","","","","","",""
"li-4346506667","linkedin","https://www.linkedin.com/jobs/view/4346506667","","Software Engineer für Netzautomatisierung & DevOps (m/w/d)","Deutsche Telekom","Nuremberg, Bavaria, Germany","","","","","","","",False,"","","","","","","https://de.linkedin.com/company/telekom","","","","","","","","","","","",""
